file,fold,split
adaptive_013_aligned.csv,1,train
adaptive_014_aligned.csv,1,train
adaptive_015_aligned.csv,1,train
adaptive_018_aligned.csv,1,train
adaptive_019_aligned.csv,1,train
adaptive_020_aligned.csv,1,train
adaptive150025_016_aligned.csv,1,train
adaptive150025_017_aligned.csv,1,train
adaptive150025_018_aligned.csv,1,train
damageadaptive_004_aligned.csv,1,train
damageadaptive_005_aligned.csv,1,train
damageface_004_aligned.csv,1,train
damageface_005_aligned.csv,1,train
damagepocket_004_aligned.csv,1,train
damagepocket_005_aligned.csv,1,train
face_009_aligned.csv,1,train
face_012_aligned.csv,1,train
face_013_aligned.csv,1,train
face_014_aligned.csv,1,train
face_017_aligned.csv,1,train
face_018_aligned.csv,1,train
face_019_aligned.csv,1,train
face150025_010_aligned.csv,1,train
face150025_013_aligned.csv,1,train
face150025_014_aligned.csv,1,train
face150025_015_aligned.csv,1,train
face150025_018_aligned.csv,1,train
face150025_019_aligned.csv,1,train
face150025_020_aligned.csv,1,train
pocket_008_aligned.csv,1,train
pocket_009_aligned.csv,1,train
pocket_010_aligned.csv,1,train
pocket_013_aligned.csv,1,train
pocket_014_aligned.csv,1,train
pocket_015_aligned.csv,1,train
pocket_018_aligned.csv,1,train
pocket_019_aligned.csv,1,train
pocket150025_009_aligned.csv,1,train
pocket150025_011_aligned.csv,1,train
pocket150025_014_aligned.csv,1,train
pocket150025_015_aligned.csv,1,train
pocket150025_016_aligned.csv,1,train
pocket150025_019_aligned.csv,1,train
pocket150025_020_aligned.csv,1,train
pocket150025_012_aligned.csv,1,train
adaptive150025_001_aligned.csv,1,train
pocket_002_aligned.csv,1,train
adaptive_017_aligned.csv,1,train
adaptive150025_015_aligned.csv,1,train
pocket_017_aligned.csv,1,train
face150025_012_aligned.csv,1,train
adaptive150025_019_aligned.csv,1,train
adaptive_002_aligned.csv,1,train
face150025_017_aligned.csv,1,train
pocket150025_018_aligned.csv,1,train
damageadaptive_001_aligned.csv,1,train
adaptive150025_020_aligned.csv,1,train
pocket_001_aligned.csv,1,train
adaptive_012_aligned.csv,1,train
adaptive150025_007_aligned.csv,1,train
face_011_aligned.csv,1,train
pocket150025_013_aligned.csv,1,train
adaptive_001_aligned.csv,1,train
adaptive150025_002_aligned.csv,1,train
pocket150025_017_aligned.csv,1,train
adaptive_007_aligned.csv,1,train
damagepocket_002_aligned.csv,1,train
face_020_aligned.csv,1,train
adaptive_006_aligned.csv,1,train
damageadaptive_002_aligned.csv,1,val
damageface_003_aligned.csv,1,val
face_006_aligned.csv,1,val
face_016_aligned.csv,1,val
face150025_002_aligned.csv,1,val
pocket_007_aligned.csv,1,val
